portuguese_word,spanish_word
que ,qué
não ,no
o ,O
de ,en
a ,Él
é ,Eso
você ,vos
e,y
eu,yo
um,a
para,por
está,es
uma,una
se,si
com,con
por,por
ele,a él
isso,eso
em,en
do,del
me,a mí
mas,pero
como,me gusta
bem,bien
da,da
no,en el
os,Uds
ela,¿Está ahí?
na,en
sim,sí
aqui,aqui
mais,el más
tem,tengo
meu,Mia
seu,tu
muito,muy
foi,Somos
as,en
vai,ir
sua,tu
estou,estoy
vamos,vamos
tudo,todos
minha,Mia
só,solamente
então ,después
pode,él puede
agora,ahora
vou,voy
ser,ser
quando,Cuándo
fazer,hacer
sei,saber
eles,ellos
nós,nosotros
tenho,tengo
te,Uds
estava,fue
certo,Correcto
quer,Te gustaría
sabe,sabes
já,ya
era,era
nos,nosotros
quem,quién
ou,o
ao,a
nada,nada
disse,dijo
há,hay
lá,allí
onde,Dónde
quero,deseo
bom,Bueno
ter,tener
sou,soy
são ,están
dizer,decir
posso,puedo
acho,pensar
sobre,sobre
mim,a mí
porque,por qué
mesmo,mismo
coisa,cosa
todos,todos
estão ,están
algo,algo
até,Hasta que
tempo,hora
assim,así
nunca,Nunca
vocês ,Uds
esse,este
casa,casa
quê ,qué
essa,Ese
à ,Él
ver,para ver
também ,además
